"ACI Worldwide, Inc.",26.14,-3.86%,33 996
Acies Acquisition Corp.,3.78,+1.61%,19 073
"Aclaris Therapeutics, Inc.",17.99,+7.34%,16 659
"ACM Research, Inc.",19.13,+6.16%,106 414
Acme,29.25,-8.59%,600
ACNB Corporation,33.72,-2.23%,432
ACON S2 Acquisition Corp.,4.5,+7.4%,75 113
"Acorda Therapeutics, Inc.",0.44,-15.87%,11 630
ACRES COMMERCIAL REALTY CORP 7.875% CUM RED PREF SER D,,,
ACROPOLIS INFRASTRUCTURE ACQ CORP,9.74,+0.21%,100
Act II Global Acquisition Corp.,5.59,-0.27%,13 318
ACTELIS NETWORKS INC,1.54,-1.91%,1 436
"Actinium Pharmaceuticals, Inc. (Delaware)",5.72,+2.14%,1 453
Activision Blizzard Inc,80.49$,-0.2%,166 688
Actuant Corporation,20.71,0%,4 770
"Acuity Brands, Inc.",179.06,+2.06%,5 501
ACUITYADS HLDGS INC,2.59,+3.19%,200
Acushnet Holdings Corp.,50.15,-0.34%,8 270
ACUTUS MEDICAL INC,1.55,+5.8%,6 066
ACV AUCTIONS INC,7.63,-0.26%,53 103
ADAGENE INC ADS EACH REPR 1.25 ORD SHS,1.41,0%,7
ADAGIO THERAPEUTICS INC,3.98,+6.42%,46 686
Adamis Pharmaceuticals Corporation,0.38,-2.18%,12 113
Adams Diversified Equity Fund Inc.,16.69,-0.36%,8 505
"Adams Natural Resources Fund, Inc.",20.06,+0.96%,2 443
"Adams Resources & Energy, Inc.",32.99,+2.58%,307
AdaptHealth Corp.,25.5,+0.59%,140 926
Adaptimmune Therapeutics plc,2.33,0%,11 960
Adaptive Biotechnologies Corporation,11.5,+0.88%,95 920
ADARA ACQUISITION CORP,9.94,0%,
ADC THERAPEUTICS SA,8.29,+5.47%,5 592
ADDEX THERAPEUTICS LIMITED SPON ADS EACH REP 6 ORD SHS,1.29,+2.79%,5 881
Addus HomeCare Corporation,93.37,+0.32%,2 542
"ADDvantage Technologies Group, Inc.",1.4,+12%,3 064
Adecoagro S.A.,8.37,+2.83%,7 763
"Adial Pharmaceuticals, Inc",0.61,+8.98%,9 673
Adient plc,33.07,-1.08%,61 911
ADIT EDTECH ACQUISITION CORP,9.87,0%,
ADITX THERAPEUTICS INC,0.17,-0.06%,14 832
ADMA Biologics Inc,2.12,+1.44%,40 168
Adobe Systems Inc.,433.37$,+0.63%,146 624
ADT Inc.,8,+4.03%,239 365
Adtalem Global Education Inc.,38.24,-2.3%,30 477
"ADTRAN, Inc.",23.83,+3.12%,20 789
"Aduro Biotech, Inc.",20.41,+0.25%,49 322
Advance Auto Parts Inc Advance Auto Parts Inc W/I,193.47,+1%,14 858
"Advanced Drainage Systems, Inc.",139.83,+2.28%,39 126
"Advanced Emissions Solutions, Inc.",4.79,-1.03%,12 293
"Advanced Energy Industries, Inc.",94.29,+0.3%,6 738
ADVANCED MERGER PARTNERS INC,9.83,0%,
"Advanced Micro Devices, Inc.",102.29,-1.57%,2 413 766
AdvanSix Inc.,39.76,+4.22%,5 322
ADVENT TECHNOLOGIES HLDGS INC,2.94,+5.38%,26 226
"Adverum Biotechnologies, Inc.",1.58,+3.27%,24 329
AEA BRIDGES IMPACT CORP,9.97,0%,
AECOM,71.56,+0.08%,24 838
"Aeglea BioTherapeutics, Inc.",0.42,+2.75%,835
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,23.93,-1.03%,605
AEGON N.V.,4.47,+6.06%,628 570
Aehr Test Systems,14.93,+0.47%,27 616
"Aemetis, Inc",10.18,+24.91%,120 898
AEQUI ACQUISITION CORP,9.92,+0.1%,100
AerCap Holdings N.V.,45.16,+1.41%,57 472
"Aerie Pharmaceuticals, Inc.",8.91,+20.9%,72 481
"Aerojet Rocketdyne Holdings, Inc.",41.07,+0.29%,13 714
AEROVATE THERAPEUTICS INC,24.95,-0.02%,2 848
"AeroVironment, Inc.",90,-0.61%,2 794
"Aerpio Pharmaceuticals, Inc.",14.21,+0.71%,2 812
AESTHER HEALTHCARE ACQUISITION CORP COM,10.16,0%,
Aesthetic Medical International Holdings Group Ltd.,2.33,0%,
Aeterna Zentaris Inc.,4.91,+0.61%,2 794
AETHERIUM ACQUISITION CORP,9.89,0%,
"Aethlon Medical, Inc.",1.7,-9.36%,134 269
AF ACQUISITION CORP,9.81,0%,
AFC GAMMA INC,17.47,+1.1%,4 146
AFFILIATED MANAGERS GROUP 4.750% JUNIOR SUB NOTES DUE 30/09/2060,21.94,0%,13
"Affiliated Managers Group, Inc.",129.85,-0.79%,8 456
Affimed N.V.,3.3,+1.07%,32 412
AFFIRM HLDGS INC,33.35,+2.43%,419 754
AFLAC Incorporated,59.49,+0.56%,117 704
AFRICAN GOLD ACQUISITION CORP,9.85,0%,5 600
AFTERNEXT HEALTHTECH ACQUISITION CO,9.76,+0.51%,3 000
Afya Limited,11.59,-0.86%,2 318
"AG Mortgage Investment Trust, Inc.",7.39,+0.54%,5 561
"AG Mortgage Investment Trust, Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Prefe",,,
"AG Mortgage Investment Trust, Inc. 8.25% Preferred Series A",,,
"AG Mortgage Investment Trust, Inc. Preferred Series B",,,
AGBA Acquisition Limited,11.29,0%,
AGCO Corporation,106.16,-0.12%,9 378
"AgEagle Aerial Systems, Inc.",0.67,+1.51%,12 434
Agenus Inc.,2.64,+2.72%,288 101
"AgeX Therapeutics, Inc.",0.65,0%,164
AGILE GROWTH CORP,9.84,0%,
"Agile Therapeutics, Inc.",0.6,-2.81%,50 577
"Agilent Technologies, Inc.",133.73,-0.01%,20 846
AGILITI INC,19.83,-0.65%,6 163
AGILON HEALTH INC,25.59,+0.31%,117 734
"Agilysys, Inc.",50.5,+0.04%,2 831
"Agios Pharmaceuticals, Inc.",29.7,+3.88%,43 867
AGM Group Holdings Inc.,1.95,+1.56%,1 000
AGNC Investment Corp.,12.25,-0.57%,549 327
AGNC Investment Corp. - Cumulative Preferred Series A,22.17,+0.18%,2 224
"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00%",24.2,0%,
AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemabl,22.23,0%,
"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Seri",22.68,0%,25
Agnico Eagle Mines Limited,43.48,-0.66%,307 747
"Agora, Inc.",5.2,-2.8%,9 841
AGREE REALTY CORP DEP SHS EA REP 1/1000 CUM PFD STK SR A,,,
Agree Realty Corporation,76.82,+1.29%,17 457
Agrico Acquisition Corp.,2.93,+1.03%,100
AGRIFORCE GROWING SYS LTD,1.78,0%,2 859
AGRIFY CORPORATION,1.82,+2.25%,2 550
"AgroFresh Solutions, Inc.",1.84,-0.54%,205
AHREN ACQUISITION CORP,9.97,0%,
AIB Acquisition Corporation,9.9,0%,
AIHUISHOU INTERNATIONAL CO LTD SPON ADS EACH REP 0.666 ORD SHS CL A,2.69,-2.18%,6 072
AIKIDO PHARMA INC,5.87,+1.21%,136
"Aileron Therapeutics, Inc.",0.17,+8.07%,94 956
AIM ImmunoTech Inc.,0.73,0%,82
"Aimmune Therapeutics, Inc.",34.5,0%,
Air Industries Group,0.71,0%,
Air Lease Corporation,38.25,+1.41%,38 728
"Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series",,,
"Air Products and Chemicals, Inc.",262.86,+2%,76 140
"Air T, Inc.",15.2,0%,2
"Air T, Inc. - Air T Funding Trust Preferred Securities",22.2,0%,
"Air Transport Services Group, Inc",31.47,-4.64%,17 694
AIRBNB INC,117.2,-1.69%,156 490
"Airgain, Inc.",8.34,-1.3%,325
AirNet Technology Inc.,1.4,0%,7
"Akamai Technologies, Inc.",96.29,+0.07%,38 663
Akari Therapeutics Plc,1.4,0%,
"Akebia Therapeutics, Inc.",0.4,-1.37%,205 932
Akerna Corp.,0.15,-2.44%,106 240
"Akero Therapeutics, Inc.",13.79,+8.07%,21 527
Akers Biosciences Inc.,4.63,+7.42%,3 317
"Akouos, Inc.",3.17,+4.97%,1 232
"Akoustis Technologies, Inc.",4.79,+0.42%,6 494
AKOYA BIOSCIENCES INC,14.87,+0.2%,5 315
Alabama Power Company 5.00%,,,
"Alamo Group, Inc.",134.7,+2.51%,1 957
Alamos Gold Inc.,7.8,-1.33%,198 032
"Alarm.com Holdings, Inc.",72.57,-0.4%,4 403
"Alaska Air Group, Inc.",46.55,-0.81%,23 035
Albany International Corporation,90.46,-0.87%,1 356
Albemarle Corporation,238.02,+1.39%,53 095
ALBERTSONS COMPANIES INC,27.04,+0.9%,112 506
"Albireo Pharma, Inc.",26.32,+11.81%,8 230
Alcoa Inc,49.55$,+3.64%,192 393
Alcon Inc.,77.14,-0.9%,21 760
Aldel Financial Inc.,11.61,+2.11%,4 428
"Aldeyra Therapeutics, Inc.",6.93,+11.24%,116 252
"Alector, Inc.",13.06,+14.86%,38 995
Alerus Financial Corporation,24.6,0%,287
"Alexander & Baldwin, Inc.",19.01,-0.37%,2 684
"Alexander's, Inc.",254.17,0%,125
"Alexandria Real Estate Equities, Inc.",159.7,-0.17%,22 401
Alexco Resource Corp,0.52,-3.96%,22 515
"Alexion Pharmaceuticals, Inc.",182.31,0%,
Algonquin Power & Utilities Corp.,14.08,-0.88%,134 753
Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July,26.57,0%,74
Alibaba Group Holding Limited,92.63,-4.94%,862 437
"Alico, Inc.",32.42,+0.75%,4 910
"Align Technology, Inc.",294.04,+0.21%,34 485
ALIGNMENT HEALTHCARE INC,17.96,+7.16%,71 618
ALIGOS THERAPEUTICS INC,1.48,+7.25%,2 468
"Alimera Sciences, Inc.",6.3,-11.39%,500
Alithya Group inc.,2.4,0%,500
"ALJ Regional Holdings, Inc.",1.87,-1.58%,7 125
Alkermes plc,25.78,-0.46%,97 824
Alkuri Global Acquisition Corp.,1,-0.99%,6 429
Allakos Inc.,3.98,+9.04%,45 454
ALLARITY THERAPEUTICS INC,1.19,0%,732
Alleghany Corporation,837.96,0%,1 166
Allegheny Technologies Incorporated,29.03,+5.95%,153 716
"Allegiance Bancshares, Inc.",43.91,+0.26%,2 900
Allegiant Travel Company,110.35,-3.9%,5 431
Allegion plc,102.24,-0.94%,16 485
Allego N.V. Ordinary Share,3.52,-2.76%,330
ALLEGRO MICROSYSTEMS INC,26.38,-1.49%,17 719
"Allena Pharmaceuticals, Inc.",0.14,-7.47%,559 890
Allergan plc,193.1,+0.06%,473 270
"Allete, Inc.",61.39,-1.52%,12 603
Alliance Data Systems Corporation,56.77,+1.14%,12 563
"Alliance Resource Partners, L.P.",22.4,+0.31%,10 124
AllianceBernstein Holding L.P.,43.89,-1.19%,3 938
Alliant Energy Corporation,61.28,+0.26%,131 028
Allianz SE,117.04$,+2.75%,47 001
AllianzGI Convertible & Income Fund 5.625% Series A Cumulative Preferred Shares  (Liquidation Prefer,,,
AllianzGI Convertible & Income Fund II,3.56,+0.71%,13 377
AllianzGI Convertible & Income Fund II 5.50% Series A Cumulative Preferred Shares (Liquidation Prefe,,,
"Allied Esports Entertainment, Inc.",1.53,-3.16%,914
"Allied Healthcare Products, Inc.",2.57,+13.72%,135 772
"Allied Motion Technologies, Inc.",32.18,-0.28%,486
"Allied World Assurance Company Holdings, AG (Switzerland)",1.01,+4.18%,4 305
"Allison Transmission Holdings, Inc.",37.76,+0.53%,33 359
"Allogene Therapeutics, Inc.",15.44,+4.89%,116 263
Allot Ltd.,5.37,-1.65%,510
ALLOVIR INC,7.75,+19.05%,24 920
"Allscripts Healthcare Solutions, Inc.",3.93,+3.69%,36 574
"Allscripts Healthcare Solutions, Inc.",17.53,+13.46%,172 995
Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,,
"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fi",,,
"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fi",,,
"Allstate Corporation (The) Depositary Shares each representing a 1/1,000th interest in a share of Fi",,,
Ally Financial Inc.,32.59,-0.52%,119 771
"Almaden Minerals, Ltd.",0.25,0%,
"Alnylam Pharmaceuticals, Inc.",218.51,-2.66%,60 657
Alpha and Omega Semiconductor Limited,42.58,-1.41%,5 358
ALPHA CAPITAL ACQUISITION COMPANY,6.78,-32.94%,2 547
ALPHA HEALTHCARE ACQ CORP III,9.72,0%,
Alpha Healthcare Acquisition Corp.,3.5,+2.49%,7 120
ALPHA PARTNERS TECHNOLOGY MERGER CO,9.73,0%,
"Alpha Pro Tech, Ltd.",4.67,-5.27%,4 333
ALPHA STAR ACQUISITION CORPORATION,9.92,0%,
ALPHA TEKNOVA INC,7.3,+1.39%,1 764
Alphabet Inc.,118.23$,-0.53%,975 848
Alphabet Inc.,117.49,-0.6%,1 102 412
"Alphatec Holdings, Inc.",8.18,-0.61%,33 694
ALPINE 4 HOLDINGS INC,1,+12.49%,31 415
ALPINE ACQUISITION CORP,10.12,0%,
"Alpine Immune Sciences, Inc.",8.8,-0.28%,1 765
ALSET CAPITAL ACQUISITION CORP,9.92,0%,
ALSP ORCHID ACQUISITION CORP I,10.03,0%,22
ALTA EQUIPMENT GROUP INC,11.66,0%,212
ALTA EQUIPMENT GROUP INC 10% DEP SH 1/1000TH CUM PFD SER A USD25,,,
Altaba Inc.,,,
Altaba Inc.,,,
Altair Engineering Inc.,57.97,-4.72%,17 980
ALTC ACQUISITION CORP,9.72,0%,
ALTENERGY ACQUISITION CORP,9.94,0%,
ALTERA INFRASTRUCTURE LP 7.25% CUM RED PFD UNIT SER A USD25,,,
ALTERA INFRASTRUCTURE LP 8.50% CUM RED PFD UNIT SER B USD25,,,
ALTERA INFRASTRUCTURE LP 8.875% CUM RED PERP PFD UNIT SER E FIXED,,,
Alterity Therapeutics Limited,0.63,-3.94%,440
"Alteryx, Inc.",62.7,+1.79%,21 851
"Altice USA, Inc.",11.58,-1.36%,184 842
ALTIMAR ACQUISITION CORP III,9.84,0%,
Altimar Acquisition Corp. II,3.33,-6.46%,4 749
ALTIMETER GROWTH CORP 2,9.89,+0.1%,804
Altimeter Growth Corp.,3.84,+6.08%,1 900 203
"Altimmune, Inc.",12.39,+5.36%,62 770
Altisource Asset Management Corp Com,21.8,+22.27%,6 583
Altisource Portfolio Solutions S.A.,11.7,+1.47%,927
ALTITUDE ACQUISITION CORP,10,0%,
"Alto Ingredients, Inc.",4.71,+8.28%,91 906
Altra Industrial Motion Corp.,40.88,-0.54%,5 730
Aluminum Corporation of China Limited,8.89,0%,363
Alussa Energy Acquisition Corp.,11.25,+1.86%,46 900
ALX ONCOLOGY HLDGS INC,11.5,+6.09%,10 911
Amalgamated Bank,24.01,+2.74%,432
Amarin Corporation plc,1.29,+1.57%,103 916
"Amazon.com, Inc.",140.8,-1.24%,2 560 568
"Ambac Financial Group, Inc.",11.39,+0.09%,20 676
"Ambarella, Inc.",88.99,-0.29%,8 438
Ambev S.A.,2.76,-0.72%,3 227 885
"Ambow Education Holding Ltd. American Depository Shares, each representing two",0.44,+5.41%,1 127
AMBRX BIOPHARMA INC SPON ADS EACH REP 7 ORD SHS,2.41,0%,99
"AMC Entertainment Holdings, Inc.",22.2,+18.91%,3 965 366
AMC Networks Inc.,28.92,-12.71%,28 726
AMCI ACQUISITION CORP II,9.97,+2.05%,200
AMCON Distributing Company,238.48,0%,1
Amcor plc,12.27,-2.66%,599 445
Amdocs Limited,87.22,-0.4%,25 256
Amedisys Inc,121.16,-0.45%,8 692
Amerant Bancorp Inc.,27.4,+3.32%,8 432
Amerco,553.41,+3.22%,1 285
Ameren Corporation,91.31,-0.33%,84 223
"Ameresco, Inc.",66.14,-1.08%,15 433
"Ameri Holdings, Inc.",7.18,-18.59%,12 912
"America First Multifamily Investors, L.P. - Beneficial",19.75,0%,11
"America Movil, S.A.B. de C.V.",18.5,0%,
"America Movil, S.A.B. de C.V. American Depository Receipt Series L",18.12,-1.15%,112 894
"America's Car-Mart, Inc.",103.24,+0.94%,1 361
AMERICAN ACQUISITION OPPORTUNITY IN,10.15,0%,
"American Airlines Group, Inc.",14.74,-0.81%,959 859
"American Assets Trust, Inc.",29.28,+1.19%,17 657
"American Axle & Manufacturing Holdings, Inc.",9.23,+8.53%,155 307
American Campus Communities Inc,65.4,-0.01%,124 986
"American Eagle Outfitters, Inc.",12.06,-0.82%,279 565
"American Electric Power Company, Inc.",99.47,-0.48%,234 237
"American Electric Power Company, Inc. Corporate",55.85,0%,
American Equity Investment Life Holding Company,36.08,+0.53%,12 285
AMERICAN EQUITY INVT LIFE HLDG CO 5.95% DEP SH REP 1/1000 NON CUM PFD SE A,,,
AMERICAN EQUITY INVT LIFE HLDG CO 6.625% DEP SH REP 1/1000 NON CUM PF SR B,,,
American Express,157.52$,+0.41%,160 205
"American Finance Trust, Inc.",7.78,+1.24%,11 584
"American Finance Trust, Inc. - 7.375% Series C Cumulative Redeemable Preferred Stock",24.28,-0.86%,190
"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",24.2,0%,
"American Financial Group, Inc.",127.91,+1.58%,13 008
"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",26.35,0%,
American Homes 4 Rent,37.08,-0.64%,224 510
American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial intere,,,
American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Intere,,,
"American International Group, Inc. Depositary Shares Each Representing a 1/1,000th Interest in a Sha",,,
American Intl Group Inc,51.8$,+1.34%,145 665
"American National Bankshares, Inc.",34.86,+0.52%,734
American Outdoor Brands Corporation,11.82,+9.44%,110 366
"American Outdoor Brands, Inc.",7.29,+0.14%,4 372
"American Public Education, Inc.",15.92,-1.55%,1 269
"American Realty Investors, Inc.",14.68,0%,10
AMERICAN REBEL HOLDINGS INC,0.73,-14.08%,15 523
American Resources Corporation,2.36,+1.51%,22 126
American Shared Hospital Services,2.47,+0.82%,200
"American Software, Inc.",18.03,-1.58%,1 293
American States Water Company,87.78,-2.79%,7 829
American Superconductor Corporation,5.21,-4.4%,20 409
American Tower Corp. Cl A,272.25$,+0.35%,47 526
American Vanguard Corporation,23.19,+0.96%,3 367
"AMERICAN VIRTUAL CLOUD TECHNOLOGIES, INC",0.17,-3.75%,280 377
"American Water Works Company, Inc.",155.62,-1.92%,33 320
AMERICAN WELL CORP,5,+7.99%,97 079
American Woodmark Corporation,49.5,-0.6%,623
Americas Gold and Silver Corporation,0.56,-5.77%,5 550
AMERICAS TECHNOLOGY ACQ CORP,10.39,0%,
Americold Realty Trust,31.05,-4.42%,121 894
"Ameriprise Financial, Inc.",269.01,-0.07%,21 660
Ameris Bancorp,47.33,+0.83%,7 312
"AMERISAFE, Inc.",46.94,+1.49%,2 802
AmeriServ Financial Inc.,3.92,+0.77%,
AmerisourceBergen Corporation,141.3,+1.48%,33 143
Ames National Corporation,22.11,0%,77
AMESITE OPERATING CO,0.53,+10.5%,1 984
"AMETEK, Inc.",126.25,+0.69%,31 056
Amgen Inc.,246.27,-0.23%,168 048
"Amicus Therapeutics, Inc.",12.18,+11.39%,469 570
"Amkor Technology, Inc.",22.64,-1.74%,44 450
AMMO INC,5.46,+1.11%,34 310
AMMO INC 8.75% CUM RED PFD SHS SER A,26.16,0%,
AMN Healthcare Services Inc AMN Healthcare Services Inc,117.82,+8.84%,46 187
"Amneal Pharmaceuticals, Inc.",3.2,-7.51%,56 904
Ampco-Pittsburgh Corporation,4.69,+6.59%,1 003
"Amphastar Pharmaceuticals, Inc.",36.73,-0.62%,8 335
Amphenol Corporation,77.55,+0.09%,67 371
"Ampio Pharmaceuticals, Inc.",0.11,-4.76%,212 379
Amplify Energy Corp.,6.02,+0.67%,26 634
AMPLITECH GROUP INC.,2.35,+0.86%,103
Amplitude Healthcare Acquisition Corporation,2.12,0%,98
AMREP Corporation,16.22,+2.37%,686
AMRYT PHARMA PLC (NEW) SPON ADS EACH REP 5 ORD SHS,7.82,+0.64%,908
AMTD DIGITAL INC SPON ADS EACH REP 0.4 ORD SHS,752.88,-12.46%,3 234
AMTD International Inc.,4.71,+7.78%,337 433
"Amtech Systems, Inc.",8.17,+0.25%,261
AMYLYX PHARMACEUTICALS INC,24.8,-3.69%,31 635
"Amyris, Inc.",1.9,+11.47%,344 945
AN2 THERAPEUTICS INC,10.25,+21.45%,1 215
Anadarko Petroleum Corporation,72.85,+0.82%,3 398 794
"Analog Devices, Inc.",177.4,+0.25%,151 520
"Anaplan, Inc.",63.74,,
"AnaptysBio, Inc.",24.61,+5.94%,19 560
Anavex Life Sciences Corp.,11.63,+7.49%,43 897
Anchiano Therapeutics Ltd.,3.5,-3.45%,185
Andina Acquisition Corp. III,0.86,-3.37%,2 210
Andretti Acquisition Corp.,9.96,0%,
ANEBULO PHARMACEUTICALS INC,4.05,0%,77
ANGEL OAK MORTGAGE INC,14.72,0%,96
ANGEL POND HOLDINGS CORPORATION,9.83,0%,
ANGI Homeservices Inc.,5.81,+0.52%,50 623
"AngioDynamics, Inc.",23.77,+1.84%,2 519
ANGION BIOMEDICA CORP,1.05,-3.67%,1 771
AngloGold Ashanti Limited,15,+5.34%,367 701
Anheuser-Busch Inbev SA Sponsored,53.24,-1%,50 537
"ANI Pharmaceuticals, Inc.",34.57,+0.73%,1 594
Anika Therapeutics Inc.,22.66,-1.13%,11 544
"Anixa Biosciences, Inc.",3.98,+7.43%,1 350
Anixter International Inc.,97.86,,
Annaly Capital Management Inc,6.55,-1.06%,1 101 621
Annaly Capital Management Inc 6.50% Series G Fixed-to-Floating Rate Cumulative Redeemable Preferred,,,
Annaly Capital Management Inc 6.750% Series I Fixed-to-Floating Rate Cumulative Redeemable Preferred,,,
Annaly Capital Management Inc 6.95% Series F,,,
ANNEXON INC,5.22,+3.98%,5 749
"Annovis Bio, Inc.",11.32,+2.63%,194
"AnPac Bio-Medical Science Co., Ltd.",0.27,-4.47%,1 619
"ANSYS, Inc.",285.55,-2.42%,9 408
Anterix Inc.,45.47,+1.31%,5 126
Antero Midstream Corporation,9.72,+0.83%,121 418
Antero Resources Corporation,36.62,+2.43%,247 163
"Anthem, Inc.",482.23,+2.55%,40 963
ANTHEMIS DIGITAL ACQ I CORP,10.01,0%,
Anworth Mortgage Asset Corporation Preferred Stock Series B 6.25%,,,
Anywhere Real Estate Inc. Common Stock,10.88,+3.13%,51 738
ANZU SPECIAL ACQUISITION CORP I,9.82,0%,
Aon plc,287.43,+0.6%,14 705
AP Acquisition Corp Class A,10.02,0%,
APACHE CORP,31.75,+3.45%,646 157
Apache Corporation,14.77,+4.64%,409 193
Apartment Income REIT Corp.,43.79,+0.33%,9 658
